carat,cut,color,clarity,table
0.32,Premium,E,SI1,58.0
1.2,Premium,F,VS2,57.0
1.5,Ideal,I,VS2,55.0
1.67,Premium,I,SI2,59.0
1.0,Good,H,VS2,60.0
0.52,Very Good,E,SI1,58.0
0.7,Premium,F,SI1,59.0
0.42,Ideal,G,VS2,56.0
0.41,Premium,E,SI1,56.0
1.01,Premium,F,SI2,59.0
1.23,Premium,D,SI2,58.0
1.03,Ideal,E,VVS2,56.0
1.52,Very Good,E,SI1,54.0
1.22,Premium,E,SI1,56.0
0.31,Premium,E,VS2,59.0
0.57,Ideal,G,VS2,55.0
1.52,Ideal,H,SI2,57.0
2.0,Fair,J,VS2,56.0
0.3,Ideal,G,VVS2,56.0
0.7,Ideal,F,VS1,56.0
0.5,Very Good,G,SI1,58.0
1.04,Ideal,H,SI1,57.0
0.53,Ideal,D,VS2,56.0
0.9,Very Good,G,SI1,57.0
0.56,Premium,G,VS2,59.0
0.33,Ideal,G,IF,56.0
2.2,Premium,H,SI1,62.0
1.3,Ideal,G,VS1,55.0
0.31,Good,G,SI1,54.0
1.02,Ideal,H,VS2,57.0
0.32,Ideal,F,VS2,57.0
1.54,Ideal,E,SI1,55.0
1.52,Premium,D,VS2,59.0
1.04,Good,H,VS2,57.0
0.32,Ideal,E,VVS1,57.0
0.9,Premium,E,SI2,59.0
0.7,Ideal,G,VS1,57.0
0.3,Ideal,D,VS2,56.0
1.51,Premium,E,VS2,59.0
0.57,Ideal,F,SI2,55.0
0.31,Ideal,E,VS2,54.0
0.98,Ideal,I,I1,56.0
1.01,Ideal,D,SI2,56.0
0.51,Very Good,G,SI1,56.0
0.51,Premium,F,SI1,56.0
0.42,Ideal,G,SI1,56.0
0.92,Very Good,D,SI1,63.0
0.73,Ideal,H,VVS2,57.0
0.8,Very Good,G,SI2,54.0
1.24,Ideal,H,SI2,54.0
1.03,Ideal,E,VVS2,56.0
0.31,Very Good,H,VVS1,55.0
0.26,Ideal,H,VVS1,55.0
0.51,Ideal,G,VS1,56.0
1.0,Very Good,H,SI1,58.0
0.31,Premium,E,SI2,61.0
0.75,Very Good,J,VS2,56.0
1.0,Premium,D,SI2,58.0
0.72,Good,H,SI1,58.0
0.74,Ideal,G,SI2,56.0
0.41,Premium,E,VS1,62.0
2.22,Good,J,VS2,61.0
0.3,Ideal,D,VS2,55.0
0.7,Very Good,J,SI1,56.0
1.28,Premium,I,VS2,61.0
