carat,table,color,clarity
0.32,58.0,5.0,2.0
1.2,57.0,4.0,3.0
1.5,55.0,1.0,3.0
1.67,59.0,1.0,1.0
1.0,60.0,2.0,3.0
0.52,58.0,5.0,2.0
0.7,59.0,4.0,2.0
0.42,56.0,3.0,3.0
0.41,56.0,5.0,2.0
1.01,59.0,4.0,1.0
1.23,58.0,6.0,1.0
1.03,56.0,5.0,5.0
1.52,54.0,5.0,2.0
1.22,56.0,5.0,2.0
0.31,59.0,5.0,3.0
0.57,55.0,3.0,3.0
1.52,57.0,2.0,1.0
2.0,56.0,0.0,3.0
0.3,56.0,3.0,5.0
0.7,56.0,4.0,4.0
0.5,58.0,3.0,2.0
1.04,57.0,2.0,2.0
0.53,56.0,6.0,3.0
0.9,57.0,3.0,2.0
0.56,59.0,3.0,3.0
0.33,56.0,3.0,7.0
2.2,62.0,2.0,2.0
1.3,55.0,3.0,4.0
0.31,54.0,3.0,2.0
1.02,57.0,2.0,3.0
0.32,57.0,4.0,3.0
1.54,55.0,5.0,2.0
1.52,59.0,6.0,3.0
1.04,57.0,2.0,3.0
0.32,57.0,5.0,6.0
0.9,59.0,5.0,1.0
0.7,57.0,3.0,4.0
0.3,56.0,6.0,3.0
1.51,59.0,5.0,3.0
0.57,55.0,4.0,1.0
0.31,54.0,5.0,3.0
0.98,56.0,1.0,0.0
1.01,56.0,6.0,1.0
0.51,56.0,3.0,2.0
0.51,56.0,4.0,2.0
0.42,56.0,3.0,2.0
0.92,63.0,6.0,2.0
0.73,57.0,2.0,5.0
0.8,54.0,3.0,1.0
1.24,54.0,2.0,1.0
1.03,56.0,5.0,5.0
0.31,55.0,2.0,6.0
0.26,55.0,2.0,6.0
0.51,56.0,3.0,4.0
1.0,58.0,2.0,2.0
0.31,61.0,5.0,1.0
0.75,56.0,0.0,3.0
1.0,58.0,6.0,1.0
0.72,58.0,2.0,2.0
0.74,56.0,3.0,1.0
0.41,62.0,5.0,4.0
2.22,61.0,0.0,3.0
0.3,55.0,6.0,3.0
0.7,56.0,0.0,2.0
1.28,61.0,1.0,3.0
1.51,57.0,4.0,3.0
1.51,59.0,3.0,5.0
1.12,56.0,2.0,3.0
1.09,56.0,6.0,3.0
0.42,55.0,4.0,6.0
0.72,56.0,1.0,2.0
0.71,56.0,6.0,6.0
1.52,58.0,2.0,1.0
1.22,61.0,3.0,3.0
0.55,56.0,4.0,2.0
0.34,56.0,3.0,3.0
1.5,55.0,6.0,1.0
0.41,58.0,3.0,4.0
1.09,56.0,3.0,4.0
0.42,56.0,3.0,3.0
1.21,57.0,1.0,4.0
0.42,56.0,3.0,2.0
0.57,59.0,6.0,2.0
1.01,58.0,3.0,2.0
0.9,57.0,3.0,1.0
0.3,56.0,5.0,3.0
0.3,56.0,6.0,1.0
1.02,58.0,2.0,0.0
1.59,59.0,2.0,1.0
0.78,56.0,4.0,1.0
1.22,58.0,5.0,5.0
1.55,57.0,1.0,4.0
1.2,57.0,4.0,2.0
2.11,58.0,0.0,1.0
0.53,56.0,3.0,4.0
0.37,60.0,4.0,3.0
1.15,60.0,3.0,4.0
0.33,54.0,1.0,2.0
1.01,58.0,5.0,1.0
0.59,59.0,6.0,3.0
1.01,59.0,3.0,3.0
0.71,57.0,1.0,1.0
1.02,57.0,3.0,3.0
0.9,57.0,2.0,2.0
2.06,59.0,0.0,1.0
0.41,56.0,4.0,6.0
0.4,59.0,5.0,5.0
0.42,56.0,3.0,5.0
0.36,54.0,3.0,3.0
0.3,55.0,2.0,3.0
1.6,60.0,5.0,3.0
0.56,57.0,6.0,3.0
0.51,56.0,3.0,3.0
1.03,57.0,6.0,2.0
0.71,57.0,6.0,4.0
0.54,54.0,2.0,4.0
0.38,54.0,3.0,2.0
0.9,57.0,2.0,4.0
0.35,57.0,2.0,6.0
0.57,54.0,2.0,4.0
0.33,55.0,5.0,4.0
1.04,58.0,2.0,3.0
0.32,54.0,5.0,2.0
0.81,58.0,6.0,1.0
1.01,56.0,5.0,3.0
0.71,59.0,5.0,1.0
1.52,56.0,3.0,2.0
1.03,55.0,3.0,1.0
0.32,55.0,4.0,3.0
0.46,61.0,4.0,2.0
1.02,59.0,6.0,1.0
1.22,56.0,6.0,1.0
0.35,54.0,4.0,6.0
1.6,58.0,2.0,3.0
1.22,57.0,2.0,4.0
0.32,57.0,2.0,4.0
0.33,56.0,4.0,4.0
1.51,57.0,2.0,3.0
1.21,59.0,3.0,5.0
0.5,56.0,4.0,2.0
0.3,58.0,0.0,2.0
0.3,55.0,3.0,4.0
1.0,60.0,0.0,1.0
0.78,56.0,5.0,1.0
0.51,58.0,3.0,4.0
1.0,58.0,3.0,1.0
0.33,57.0,4.0,6.0
1.63,55.0,2.0,1.0
2.03,59.0,0.0,2.0
1.01,59.0,3.0,3.0
0.31,57.0,5.0,5.0
1.02,54.0,6.0,3.0
0.7,53.0,3.0,2.0
0.35,56.0,4.0,6.0
0.73,56.0,4.0,5.0
0.41,58.0,5.0,4.0
0.38,54.0,4.0,2.0
0.3,60.0,5.0,3.0
1.71,58.0,1.0,4.0
0.37,60.0,4.0,2.0
0.31,55.0,4.0,3.0
0.27,57.0,6.0,4.0
0.57,57.0,2.0,5.0
0.37,58.0,5.0,3.0
0.42,56.0,1.0,6.0
0.31,58.0,3.0,2.0
0.91,55.0,2.0,4.0
0.3,58.0,2.0,4.0
0.9,55.0,2.0,2.0
0.51,56.0,4.0,4.0
0.4,55.0,0.0,1.0
1.01,62.0,4.0,3.0
1.05,56.0,2.0,2.0
1.01,56.0,2.0,1.0
0.36,56.0,3.0,5.0
1.5,58.0,0.0,5.0
1.06,57.0,4.0,2.0
0.54,56.0,3.0,5.0
0.7,57.0,5.0,3.0
0.71,55.0,6.0,2.0
0.71,58.0,6.0,1.0
1.02,56.0,4.0,4.0
1.02,58.0,3.0,3.0
1.02,59.0,3.0,3.0
0.61,54.0,6.0,2.0
1.01,60.0,2.0,1.0
1.27,60.0,3.0,4.0
1.0,61.0,2.0,3.0
0.31,55.0,3.0,3.0
1.12,56.0,4.0,2.0
1.5,55.0,6.0,3.0
0.78,60.0,1.0,1.0
0.84,59.0,4.0,2.0
0.3,58.0,4.0,6.0
